,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3032,1,FLATIRON,21 OFFICE BUILDINGS                        ,4,856,9, ,O4,11-13 EAST 26TH   STREET, ,10010,0,35,35,11553,217991,1913,4,O4,"$1,159,531.00",12/20/2016
3556,1,GREENWICH VILLAGE-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,556,15, ,C4,85 EAST 10TH STREET, ,10003,107,0,107,10344,61612,1900,2,C4,"$72,200,000.00",11/21/2016
4153,1,GREENWICH VILLAGE-CENTRAL,21 OFFICE BUILDINGS                        ,4,563,31, ,O6,817 BROADWAY, ,10003,0,15,15,8175,114000,1900,4,O6,"$109,000,000.00",11/21/2016
4155,1,GREENWICH VILLAGE-CENTRAL,21 OFFICE BUILDINGS                        ,4,577,19, ,O5,34-42 W 14 STREET, ,10011,0,6,6,25297,151541,1930,4,O5,"$153,000,000.00",1/10/2017
4165,1,GREENWICH VILLAGE-CENTRAL,34 THEATRES                                ,4,556,65, ,J8,66 3 AVENUE, ,10003,0,1,1,7742,54328,1900,4,J8,"$32,250,000.00",10/14/2016
4785,1,GREENWICH VILLAGE-WEST,21 OFFICE BUILDINGS                        ,4,603,28, ,O3,95 MORTON STREET, ,10014,0,11,11,20019,154328,1911,4,O3,"$205,961,801.00",4/5/2017
5007,1,HARLEM-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS           ,2,1737,15, ,D3,45 WEST 139 STREET, ,10037,256,0,256,66825,185318,1959,2,D3,"$5,020,000.00",11/7/2016
5011,1,HARLEM-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS           ,2,1737,59, ,D3,60 WEST 142 STREET, ,10037,257,0,257,64675,185318,1959,2,D3,"$5,020,000.00",11/7/2016
5571,1,HARLEM-CENTRAL,22 STORE BUILDINGS                         ,4,1750,1, ,K4,2023 5 AVENUE, ,10035,0,10,10,16986,58000,1940,4,K4,"$15,453,750.00",2/15/2017
5795,1,HARLEM-EAST,08 RENTALS - ELEVATOR APARTMENTS           ,2,1622,20, ,D6,75 EAST 116 STREET, ,10029,76,5,81,21193,96446,2000,2,D6,"$22,600,000.00",4/6/2017
5801,1,HARLEM-EAST,08 RENTALS - ELEVATOR APARTMENTS           ,2,1644,59, ,D3,136 EAST117TH STREET, ,10035,72,0,72,13481,55725,1910,2,D3,"$25,000,000.00",12/16/2016
6051,1,HARLEM-UPPER,08 RENTALS - ELEVATOR APARTMENTS           ,2,2090,40, ,D1,612 WEST 144TH STREET, ,10031,68,0,68,12488,51570,1924,2,D1,"$25,000,000.00",8/3/2017
6052,1,HARLEM-UPPER,08 RENTALS - ELEVATOR APARTMENTS           ,2,2091,48, ,D3,676 RIVERSIDE DRIVE, ,10031,74,0,74,12000,102068,1911,2,D3,"$32,000,000.00",8/3/2017
6140,1,HARLEM-WEST,08 RENTALS - ELEVATOR APARTMENTS           ,2,1999,36, ,D7,600 WEST 133RD STREET, ,10027,50,5,55,10625,53340,1905,2,D7,"$7,630,400.00",7/6/2017
6201,1,INWOOD,08 RENTALS - ELEVATOR APARTMENTS           ,2,2248,24, ,D1,139 PAYSON AVENUE, ,10034,61,0,61,14375,61584,1927,2,D1,"$19,200,000.00",12/14/2016
6202,1,INWOOD,08 RENTALS - ELEVATOR APARTMENTS           ,2,2250,80, ,D1,254 SEAMAN AVENUE, ,10034,60,1,61,13625,54261,1925,2,D1,"$17,700,000.00",10/20/2016
6685,1,KIPS BAY,26 OTHER HOTELS                            ,4,929,38, ,H8,340 EAST 24TH   STREET, ,10010,0,254,254,18344,113056,2015,4,H8,"$174,000,000.00",11/3/2016
6692,1,KIPS BAY,32 HOSPITAL AND HEALTH FACILITIES          ,4,923,31, ,I4,301 1 AVENUE, ,10003,184,1,185,13248,146246,1969,4,I4,"$46,500,000.00",3/1/2017
6760,1,LOWER EAST SIDE,08 RENTALS - ELEVATOR APARTMENTS           ,2,345,17, ,D1,331 EAST HOUSTON STREET, ,10002,78,0,78,8000,57128,2014,2,D1,"$61,500,000.00",7/14/2017
7056,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1844,20, ,C1,12-22 WEST 109TH STREET, ,10025,181,0,181,23251,112493,1890,2,C1,$10.00,1/23/2017
7057,1,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1844,20, ,C1,12-22 WEST 109TH STREET, ,10025,181,0,181,23251,112493,1890,2,C1,$10.00,1/23/2017
7446,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,4,1275,59, ,O4,292 MADISON AVENUE, ,10017,0,26,26,9250,170230,1923,4,O4,"$90,000,000.00",10/7/2016
7447,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,4,1275,59, ,O4,292 MADISON AVENUE, ,10017,0,26,26,9250,170230,1923,4,O4,"$90,000,000.00",10/7/2016
7450,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,4,1291,21, ,O6,551 MADISON AVENUE, ,10022,0,1,1,7541,125495,1922,4,O6,"$155,000,000.00",1/19/2017
7454,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,4,1312,24, ,O6,145 EAST 57TH   STREET, ,10022,0,12,12,5020,58458,1926,4,O6,"$62,750,000.00",10/6/2016
7456,1,MIDTOWN CBD,22 STORE BUILDINGS                         ,4,1292,69, ,K4,727 5TH AVENUE, ,10022,0,1,1,10677,119867,1940,4,K4,"$131,667,000.00",2/1/2017
